URN,EstablishmentName,StudentsAchievingGrade5PlusEngMathRate,borda_rank,borda_points_total,NumberOfPupils,PercentOfStudentReceivingFreeSchoolMeals,UrbanRuralClassification,GOR,LA (code),LA (name),LSOA (code),MSOA (code),Postcode,longitude,latitude,Easting,Northing
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
135676.0,Pimlico Academy,48.0,10.0,9935.0,198.0,55.0,Urban: Nearer to a major town or city,London,213,Westminster,E01035722,E02000983,SW1V 3AT,-0.137172807784421,51.48817987949495,529431.0,178226.0
137353.0,The St Marylebone CofE School,64.0,26.0,9922.0,149.0,29.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004717,E02000970,W1U 5BA,-0.1521449148519796,51.522211292218536,528296.0,181984.0
141931.0,The Cardinal Vaughan Memorial RC School,67.0,27.0,9917.0,121.0,24.0,Urban: Nearer to a major town or city,London,207,Kensington and Chelsea,E01002869,E02000585,W14 8BZ,-0.2117194570296673,51.503890362229434,524213.0,179844.0
131262.0,Westminster Academy,55.0,28.0,9913.0,172.0,58.0,Urban: Nearer to a major town or city,London,213,Westminster,E01032512,E02000969,W2 5EZ,-0.1923724747179133,51.520877664050865,525509.0,181766.0
100457.0,Elizabeth Garrett Anderson School,55.0,29.0,9910.0,161.0,68.0,Urban: Nearer to a major town or city,London,206,Islington,E01002697,E02000572,N1 9QG,-0.1126214227459916,51.53294891061472,531007.0,183248.0
100051.0,Regent High School,34.0,30.0,9903.0,110.0,62.0,Urban: Nearer to a major town or city,London,202,Camden,E01000952,E02000187,NW1 1RX,-0.1335036629573049,51.534254194848984,529555.0,183356.0
100973.0,Swanlea School,44.0,31.0,9898.0,196.0,64.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004205,E02000876,E1 5DJ,-0.0600363829136348,51.52075066436236,534690.0,181987.0
100972.0,Oaklands School,46.0,32.0,9897.0,112.0,62.0,Urban: Nearer to a major town or city,London,211,Tower Hamlets,E01004203,E02000868,E2 6PR,-0.0616937686014475,51.52924010482462,534550.0,182928.0
138313.0,The Grey Coat Hospital,72.0,33.0,9896.0,149.0,20.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004731,E02000979,SW1P 2DY,-0.1345042746011027,51.49603306279619,529594.0,179104.0
138312.0,Westminster City School,48.0,33.0,9896.0,124.0,48.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004731,E02000979,SW1E 5HJ,-0.1390644780133617,51.49796700349733,529272.0,179311.0
136172.0,Hammersmith Academy,45.0,35.0,9894.0,115.0,52.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01001858,E02000377,W12 9JD,-0.2357399966211418,51.50201492412597,522551.0,179595.0
131747.0,Harris Academy Bermondsey,47.0,36.0,9892.0,160.0,59.0,Urban: Nearer to a major town or city,London,210,Southwark,E01003977,E02000816,SE16 3TZ,-0.0708996968510468,51.4932593918176,534017.0,178910.0
134222.0,City of London Academy (Southwark),55.0,37.0,9889.0,190.0,57.0,Urban: Nearer to a major town or city,London,210,Southwark,E01004038,E02000816,SE1 5LA,-0.0658660523195077,51.48897680745791,534379.0,178443.0
130912.0,Paddington Academy,64.0,38.0,9883.0,184.0,68.0,Urban: Nearer to a major town or city,London,213,Westminster,E01004676,E02000965,W9 2DR,-0.1920640446300445,51.525387213488905,525518.0,182268.0
102157.0,Gladesmore Community School,49.0,39.0,9880.0,238.0,65.0,Urban: Nearer to a major town or city,London,309,Haringey,E01002052,E02000425,N15 6EB,-0.066057202642454,51.58006648296401,534098.0,188572.0
138960.0,Sacred Heart Catholic School,60.0,39.0,9880.0,132.0,38.0,Urban: Nearer to a major town or city,London,210,Southwark,E01003919,E02000827,SE5 0RP,-0.0972823042524863,51.47513847125868,532238.0,176847.0
141941.0,Bolton UTC,35.0,41.0,9875.0,115.0,38.0,Urban: Nearer to a major town or city,North West,350,Bolton,E01004849,E02001004,BL3 5AG,-2.439799042791799,53.57340588026011,370974.0,408622.0
137181.0,The UCL Academy,60.0,42.0,9874.0,161.0,55.0,Urban: Nearer to a major town or city,London,202,Camden,E01000963,E02000182,NW3 3AQ,-0.1719672887974954,51.5415952645991,526867.0,184105.0
100049.0,Haverstock School,31.0,43.0,9870.0,199.0,63.0,Urban: Nearer to a major town or city,London,202,Camden,E01000902,E02000177,NW3 2BQ,-0.1532039190614447,51.54483557326095,528159.0,184498.0
102786.0,St Angela's Ursuline School,51.0,43.0,9870.0,186.0,49.0,Urban: Nearer to a major town or city,London,316,Newham,E01003571,E02000721,E7 8HU,0.0286028752626131,51.54222741240956,540773.0,184542.0
135587.0,City of London Academy Islington,45.0,45.0,9865.0,88.0,65.0,Urban: Nearer to a major town or city,London,206,Islington,E01002800,E02000571,N1 8PQ,-0.0976193230763775,51.536222627099235,532038.0,183639.0
136137.0,Skinners' Academy,43.0,46.0,9863.0,170.0,65.0,Urban: Nearer to a major town or city,London,204,Hackney,E01035638,E02000346,N4 1SY,-0.0929390488093334,51.57333986358859,532255.0,187775.0
135389.0,Ark Evelyn Grace Academy,32.0,47.0,9861.0,174.0,70.0,Urban: Nearer to a major town or city,London,208,Lambeth,E01003051,E02000635,SE24 0QN,-0.1040681072467482,51.4608149671103,531808.0,175242.0
138609.0,Queens Park Community School,55.0,48.0,9858.0,202.0,36.0,Urban: Nearer to a major town or city,London,304,Brent,E01000489,E02000122,NW6 7BQ,-0.2186167572032705,51.54055926209848,523635.0,183910.0
138337.0,All Saints' Catholic High School,40.0,49.0,9855.0,198.0,33.0,Urban: Nearer to a major town or city,Yorkshire and the Humber,373,Sheffield,E01008095,E02001653,S2 2RJ,-1.457122300803298,53.37327886792022,436216.0,386404.0
137645.0,Hendon School,48.0,50.0,9852.0,192.0,36.0,Urban: Nearer to a major town or city,London,302,Barnet,E01000237,E02000055,NW4 2HP,-0.217817997358137,51.58569893235814,523568.0,188931.0
131752.0,Ark Burlington Danes Academy,33.0,51.0,9850.0,156.0,60.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01035484,E02000372,W12 0HR,-0.2296942366425055,51.5189558497935,522925.0,181489.0
131609.0,The Bridge Academy,39.0,52.0,9848.0,173.0,61.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001773,E02000369,E2 8BA,-0.0729308843996294,51.535585345478154,533752.0,183613.0
100503.0,Sion-Manning Catholic Girls' School,41.0,53.0,9843.0,93.0,56.0,Urban: Nearer to a major town or city,London,207,Kensington and Chelsea,E01002905,E02000578,W10 6EL,-0.2148432650881009,51.5201786278554,523952.0,181650.0
138698.0,Beis Yaakov High School,58.0,54.0,9841.0,45.0,7.0,Urban: Nearer to a major town or city,North West,355,Salford,E01005650,E02001166,M7 4FF,-2.2617346836104404,53.50913130494494,382739.0,401413.0
136944.0,Birmingham Ormiston Academy,44.0,55.0,9839.0,172.0,16.0,Urban: Nearer to a major town or city,West Midlands,330,Birmingham,E01033617,E02001876,B4 7QD,-1.8882174003682777,52.48303471791404,407688.0,287239.0
134693.0,Mossbourne Community Academy,60.0,56.0,9838.0,196.0,46.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001758,E02000360,E5 8JY,-0.0613343921108458,51.551616687544005,534509.0,185417.0
109327.0,St Mary Redcliffe and Temple School,68.0,56.0,9838.0,212.0,17.0,Urban: Nearer to a major town or city,South West,801,"Bristol, City of",E01033370,E02006887,BS1 6RT,-2.588073290097825,51.44631934929403,359228.0,172090.0
141705.0,Fairfield High School,50.0,58.0,9836.0,125.0,38.0,Urban: Nearer to a major town or city,South West,801,"Bristol, City of",E01014664,E02003025,BS7 9NL,-2.573054381110538,51.475401365326235,360297.0,175316.0
100279.0,Stoke Newington School and Sixth Form,45.0,59.0,9835.0,253.0,40.0,Urban: Nearer to a major town or city,London,204,Hackney,E01001737,E02000356,N16 9EX,-0.0845828739696646,51.557889175795744,532879.0,186072.0
136450.0,Platanos College,48.0,60.0,9834.0,178.0,67.0,Urban: Nearer to a major town or city,London,208,Lambeth,E01003126,E02000625,SW9 0AL,-0.1200005038327693,51.4738682673147,530664.0,176665.0
143129.0,Phoenix Academy,23.0,61.0,9830.0,160.0,70.0,Urban: Nearer to a major town or city,London,205,Hammersmith and Fulham,E01001955,E02000373,W12 0RQ,-0.2378196674331393,51.51308908369307,522377.0,180823.0
139695.0,UTC Sheffield,22.0,62.0,9827.0,86.0,19.0,Urban: Nearer to a major town or city,Yorkshire and the Humber,373,Sheffield,E01033274,E02001652,S1 4QF,-1.46838568230268,53.375253059222814,435465.0,386618.0
135970.0,Ark St Alban's Academy,44.0,63.0,9817.0,87.0,72.0,Urban: Nearer to a major town or city,West Midlands,330,Birmingham,E01009362,E02001897,B12 0YH,-1.8897900332286683,52.46635973203008,407584.0,285384.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
100054.0,The Camden School for Girls,80.0,64.0,9816.0,110.0,37.0,Urban: Nearer to a major town or city,London,202,Camden,E01035707,E02000180,NW5 2DB,-0.1346674202714092,51.54599020744854,529441.0,184659.0
